id,tag,text
126,"['v020_ESV_JOS_010', 126, 'p5', 'verse', 'v20', 'plain_text']","20 When Joshua and the sons of Israel had finished striking them with a great blow until they were wiped out, and when the remnant that remained of them had entered into the fortified cities,"
127,"[127, 'p5', 'verse', 'v21', 'label']",21
128,"[128, 'p5', 'verse', 'v21', 'content']",then all the people returned safe to Joshua in the camp at Makkedah.
129,"[129, 'p5', 'verse', 'v21', 'note', 'x']",#Ex. 11:7
130,"[130, 'p5', 'verse', 'v21', 'content']",Not a man moved his tongue against any of the people of Israel.
131,"['v021_ESV_JOS_010', 131, 'p5', 'verse', 'v21', 'plain_text']",21 then all the people returned safe to Joshua in the camp at Makkedah. Not a man moved his tongue against any of the people of Israel.
132,"[132, 'p6', 'verse', 'v22', 'label']",22
133,"[133, 'p6', 'verse', 'v22', 'content']","Then Joshua said, “Open the mouth of the cave and bring those five kings out to me from the cave.”"
134,"['v022_ESV_JOS_010', 134, 'p6', 'verse', 'v22', 'plain_text']","22 Then Joshua said, “Open the mouth of the cave and bring those five kings out to me from the cave.”"
135,"[135, 'p6', 'verse', 'v23', 'label']",23
136,"[136, 'p6', 'verse', 'v23', 'content']","And they did so, and brought those five kings out to him from the cave, the king of Jerusalem, the king of Hebron, the king of Jarmuth, the king of Lachish, and the king of Eglon."
137,"['v023_ESV_JOS_010', 137, 'p6', 'verse', 'v23', 'plain_text']","23 And they did so, and brought those five kings out to him from the cave, the king of Jerusalem, the king of Hebron, the king of Jarmuth, the king of Lachish, and the king of Eglon."
138,"[138, 'p6', 'verse', 'v24', 'label']",24
139,"[139, 'p6', 'verse', 'v24', 'content']","And when they brought those kings out to Joshua, Joshua summoned all the men of Israel and said to the chiefs of the men of war who had gone with him, “Come near; put your feet on the necks of these kings.” Then they came near and put their feet on their necks."
140,"['v024_ESV_JOS_010', 140, 'p6', 'verse', 'v24', 'plain_text']","24 And when they brought those kings out to Joshua, Joshua summoned all the men of Israel and said to the chiefs of the men of war who had gone with him, “Come near; put your feet on the necks of these kings.” Then they came near and put their feet on their necks."
141,"[141, 'p6', 'verse', 'v25', 'label']",25
142,"[142, 'p6', 'verse', 'v25', 'content']","And Joshua said to them,"
143,"[143, 'p6', 'verse', 'v25', 'note', 'x']","#ch.1:6,9;SeeDeut. 31:6-8"
144,"[144, 'p6', 'verse', 'v25', 'content']",“Do not be afraid or dismayed; be strong and courageous.
145,"[145, 'p6', 'verse', 'v25', 'note', 'x']",#Deut. 3:21;7:19
146,"[146, 'p6', 'verse', 'v25', 'content']",For thus the
147,"[147, 'p6', 'verse', 'v25', 'nd']",Lord
148,"[148, 'p6', 'verse', 'v25', 'content']",will do to all your enemies against whom you fight.”
149,"['v025_ESV_JOS_010', 149, 'p6', 'verse', 'v25', 'plain_text']","25 And Joshua said to them, “Do not be afraid or dismayed; be strong and courageous. For thus the Lord will do to all your enemies against whom you fight.”"
150,"[150, 'p6', 'verse', 'v26', 'label']",26
151,"[151, 'p6', 'verse', 'v26', 'content']","And afterward Joshua struck them and put them to death, and he hanged them on five trees. And"
152,"[152, 'p6', 'verse', 'v26', 'note', 'x']",#ch.8:29
153,"[153, 'p6', 'verse', 'v26', 'content']",they hung on the trees until evening.
154,"['v026_ESV_JOS_010', 154, 'p6', 'verse', 'v26', 'plain_text']","26 And afterward Joshua struck them and put them to death, and he hanged them on five trees. And they hung on the trees until evening."
155,"[155, 'p6', 'verse', 'v27', 'label']",27
156,"[156, 'p6', 'verse', 'v27', 'content']","But at the time of the going down of the sun, Joshua commanded, and"
157,"[157, 'p6', 'verse', 'v27', 'note', 'x']","#Deut. 21:22,23"
158,"[158, 'p6', 'verse', 'v27', 'content']","they took them down from the trees and threw them into the cave where they had hidden themselves, and they set large stones against the mouth of the cave, which remain to this very day."
159,"['v027_ESV_JOS_010', 159, 'p6', 'verse', 'v27', 'plain_text']","27 But at the time of the going down of the sun, Joshua commanded, and they took them down from the trees and threw them into the cave where they had hidden themselves, and they set large stones against the mouth of the cave, which remain to this very day."
160,"[160, 'p7', 'verse', 'v28', 'label']",28
161,"[161, 'p7', 'verse', 'v28', 'content']",As for
162,"[162, 'p7', 'verse', 'v28', 'note', 'x']","#ver.10, 16, 17"
163,"[163, 'p7', 'verse', 'v28', 'content']","Makkedah, Joshua captured it on that day and struck it, and its king, with the edge of the sword. He devoted to destruction every person in it; he left none remaining. And he did to the king of Makkedah"
164,"[164, 'p7', 'verse', 'v28', 'note', 'x']",#ch.6:21
165,"[165, 'p7', 'verse', 'v28', 'content']",just as he had done to the king of Jericho.
166,"[166, 's1', 'heading']",Conquest of Southern Canaan
167,"['v028_ESV_JOS_010', 167, 'p7', 'verse', 'v28', 'plain_text']","28 As for Makkedah, Joshua captured it on that day and struck it, and its king, with the edge of the sword. He devoted to destruction every person in it; he left none remaining. And he did to the king of Makkedah just as he had done to the king of Jericho."
168,"[168, 'p8', 'verse', 'v29', 'label']",29
169,"[169, 'p8', 'verse', 'v29', 'content']",Then Joshua and all Israel with him passed on from Makkedah to
170,"[170, 'p8', 'verse', 'v29', 'note', 'x']",#ch.21:13
171,"[171, 'p8', 'verse', 'v29', 'content']",Libnah and fought against Libnah.
172,"['v029_ESV_JOS_010', 172, 'p8', 'verse', 'v29', 'plain_text']",29 Then Joshua and all Israel with him passed on from Makkedah to Libnah and fought against Libnah.
173,"[173, 'p8', 'verse', 'v30', 'label']",30
174,"[174, 'p8', 'verse', 'v30', 'content']",And the
175,"[175, 'p8', 'verse', 'v30', 'nd']",Lord
176,"[176, 'p8', 'verse', 'v30', 'content']","gave it also and its king into the hand of Israel. And he struck it with the edge of the sword, and every person in it; he left none remaining in it. And he did to its king"
177,"[177, 'p8', 'verse', 'v30', 'note', 'x']",#[See ver.28above]
178,"[178, 'p8', 'verse', 'v30', 'content']",as he had done to the king of Jericho.
179,"['v030_ESV_JOS_010', 179, 'p8', 'verse', 'v30', 'plain_text']","30 And the Lord gave it also and its king into the hand of Israel. And he struck it with the edge of the sword, and every person in it; he left none remaining in it. And he did to its king as he had done to the king of Jericho."
180,"[180, 'p9', 'verse', 'v31', 'label']",31
181,"[181, 'p9', 'verse', 'v31', 'content']",Then Joshua and all Israel with him passed on from Libnah to
182,"[182, 'p9', 'verse', 'v31', 'note', 'x']",#ver.3
183,"[183, 'p9', 'verse', 'v31', 'content']",Lachish and laid siege to it and fought against it.
184,"['v031_ESV_JOS_010', 184, 'p9', 'verse', 'v31', 'plain_text']",31 Then Joshua and all Israel with him passed on from Libnah to Lachish and laid siege to it and fought against it.
185,"[185, 'p9', 'verse', 'v32', 'label']",32
186,"[186, 'p9', 'verse', 'v32', 'content']",And the
187,"[187, 'p9', 'verse', 'v32', 'nd']",Lord
188,"[188, 'p9', 'verse', 'v32', 'content']","gave Lachish into the hand of Israel, and he captured it on the second day and struck it with the edge of the sword, and every person in it, as he had done to Libnah."
189,"['v032_ESV_JOS_010', 189, 'p9', 'verse', 'v32', 'plain_text']","32 And the Lord gave Lachish into the hand of Israel, and he captured it on the second day and struck it with the edge of the sword, and every person in it, as he had done to Libnah."
190,"[190, 'p10', 'verse', 'v33', 'label']",33
191,"[191, 'p10', 'verse', 'v33', 'content']",Then Horam king of
192,"[192, 'p10', 'verse', 'v33', 'note', 'x']",#ch.16:10;Judg. 1:29;See1 Kgs. 9:15-17
193,"[193, 'p10', 'verse', 'v33', 'content']","Gezer came up to help Lachish. And Joshua struck him and his people, until he left none remaining."
194,"['v033_ESV_JOS_010', 194, 'p10', 'verse', 'v33', 'plain_text']","33 Then Horam king of Gezer came up to help Lachish. And Joshua struck him and his people, until he left none remaining."
195,"[195, 'p11', 'verse', 'v34', 'label']",34
196,"[196, 'p11', 'verse', 'v34', 'content']",Then Joshua and all Israel with him passed on from Lachish to
197,"[197, 'p11', 'verse', 'v34', 'note', 'x']",#ver.3
198,"[198, 'p11', 'verse', 'v34', 'content']",Eglon. And they laid siege to it and fought against it.
199,"['v034_ESV_JOS_010', 199, 'p11', 'verse', 'v34', 'plain_text']",34 Then Joshua and all Israel with him passed on from Lachish to Eglon. And they laid siege to it and fought against it.
200,"[200, 'p11', 'verse', 'v35', 'label']",35
201,"[201, 'p11', 'verse', 'v35', 'content']","And they captured it on that day, and struck it with the edge of the sword. And he devoted every person in it to destruction that day, as he had done to Lachish."
202,"['v035_ESV_JOS_010', 202, 'p11', 'verse', 'v35', 'plain_text']","35 And they captured it on that day, and struck it with the edge of the sword. And he devoted every person in it to destruction that day, as he had done to Lachish."
203,"[203, 'p12', 'verse', 'v36', 'label']",36
