id,tag,text
89,"['v014_ESV_GEN_035', 89, 'p3', 'verse', 'v14', 'plain_text']","14 And Jacob set up a pillar in the place where he had spoken with him, a pillar of stone. He poured out a drink offering on it and poured oil on it."
90,"[90, 'p3', 'verse', 'v15', 'label']",15
91,"[91, 'p3', 'verse', 'v15', 'content']",So Jacob called the name of the place where God had spoken with him
92,"[92, 'p3', 'verse', 'v15', 'note', 'x']",#ch.28:19
93,"[93, 'p3', 'verse', 'v15', 'content']",Bethel.
94,"[94, 's1', 'heading']",The Deaths of Rachel and Isaac
95,"['v015_ESV_GEN_035', 95, 'p3', 'verse', 'v15', 'plain_text']",15 So Jacob called the name of the place where God had spoken with him Bethel.
96,"[96, 'p4', 'verse', 'v16', 'label']",16
97,"[97, 'p4', 'verse', 'v16', 'content']",Then they journeyed from Bethel. When they were still some distance
98,"[98, 'p4', 'verse', 'v16', 'note', 'f']",#35:16Orabout two hours’ distance
99,"[99, 'p4', 'verse', 'v16', 'content']","from Ephrath, Rachel went into labor, and she had hard labor."
100,"['v016_ESV_GEN_035', 100, 'p4', 'verse', 'v16', 'plain_text']","16 Then they journeyed from Bethel. When they were still some distance from Ephrath, Rachel went into labor, and she had hard labor."
101,"[101, 'p4', 'verse', 'v17', 'label']",17
102,"[102, 'p4', 'verse', 'v17', 'content']","And when her labor was at its hardest, the midwife said to her, “Do not fear, for"
103,"[103, 'p4', 'verse', 'v17', 'note', 'x']",#ch.30:24
104,"[104, 'p4', 'verse', 'v17', 'content']",you have another son.”
105,"['v017_ESV_GEN_035', 105, 'p4', 'verse', 'v17', 'plain_text']","17 And when her labor was at its hardest, the midwife said to her, “Do not fear, for you have another son.”"
106,"[106, 'p4', 'verse', 'v18', 'label']",18
107,"[107, 'p4', 'verse', 'v18', 'content']","And as her soul was departing (for she was dying), she called his name Ben-oni;"
108,"[108, 'p4', 'verse', 'v18', 'note', 'f']","#35:18Ben-onicould meanson of my sorrow, orson of my strength"
109,"[109, 'p4', 'verse', 'v18', 'note', 'x']","#[Luke 1:59,60]"
110,"[110, 'p4', 'verse', 'v18', 'content']",but his father called him Benjamin.
111,"[111, 'p4', 'verse', 'v18', 'note', 'f']",#35:18Benjaminmeansson of the right hand
112,"['v018_ESV_GEN_035', 112, 'p4', 'verse', 'v18', 'plain_text']","18 And as her soul was departing (for she was dying), she called his name Ben-oni; but his father called him Benjamin."
113,"[113, 'p4', 'verse', 'v19', 'label']",19
114,"[114, 'p4', 'verse', 'v19', 'content']",So
115,"[115, 'p4', 'verse', 'v19', 'note', 'x']",#ch.48:7
116,"[116, 'p4', 'verse', 'v19', 'content']","Rachel died, and she was buried on the way to"
117,"[117, 'p4', 'verse', 'v19', 'note', 'x']","#Ruth 1:2;4:11;Mic. 5:2;Matt. 2:6,16-18"
118,"[118, 'p4', 'verse', 'v19', 'content']","Ephrath (that is, Bethlehem),"
119,"['v019_ESV_GEN_035', 119, 'p4', 'verse', 'v19', 'plain_text']","19 So Rachel died, and she was buried on the way to Ephrath (that is, Bethlehem),"
120,"[120, 'p4', 'verse', 'v20', 'label']",20
121,"[121, 'p4', 'verse', 'v20', 'content']",and Jacob set up a pillar over her tomb. It is
122,"[122, 'p4', 'verse', 'v20', 'note', 'x']",#1 Sam. 10:2;[2 Sam. 18:18]
123,"[123, 'p4', 'verse', 'v20', 'content']","the pillar of Rachel’s tomb, which is there to this day."
124,"['v020_ESV_GEN_035', 124, 'p4', 'verse', 'v20', 'plain_text']","20 and Jacob set up a pillar over her tomb. It is the pillar of Rachel’s tomb, which is there to this day."
125,"[125, 'p4', 'verse', 'v21', 'label']",21
126,"[126, 'p4', 'verse', 'v21', 'content']",Israel journeyed on and pitched his tent beyond the tower of Eder.
127,"['v021_ESV_GEN_035', 127, 'p4', 'verse', 'v21', 'plain_text']",21 Israel journeyed on and pitched his tent beyond the tower of Eder.
128,"[128, 'p5', 'verse', 'v22', 'label']",22
129,"[129, 'p5', 'verse', 'v22', 'content']","While Israel lived in that land, Reuben went and"
