[1, 'label']	77
[81, 'q1_17', 'verse', 'v17', 'content']	អស់​ទាំង​ពពក​បាន​ចាក់​ទឹក​ចេញ
[82, 'q2_30', 'verse', 'v17', 'content']	ផ្ទៃ​មេឃ​ក៏​បញ្ចេញ​សូរ​រំពង
[83, 'q2_31', 'verse', 'v17', 'content']	ហើយ​ព្រួញ​របស់​ទ្រង់​បាន​ហើរ​ទៅ​គ្រប់​អន្លើ​ដែរ
[84, 'q1_17', 'verse', 'v17', 'plain_text']	17 អស់​ទាំង​ពពក​បាន​ចាក់​ទឹក​ចេញ ផ្ទៃ​មេឃ​ក៏​បញ្ចេញ​សូរ​រំពង ហើយ​ព្រួញ​របស់​ទ្រង់​បាន​ហើរ​ទៅ​គ្រប់​អន្លើ​ដែរ
[85, 'q1_18', 'verse', 'v18', 'label']	18
[86, 'q1_18', 'verse', 'v18', 'content']	សូរ‌សៀង​នៃ​ផ្គរ​របស់​ទ្រង់​ក៏​នៅ​ក្នុង​ខ្យល់​កួច
[87, 'q2_32', 'verse', 'v18', 'content']	ផ្លេក‌បន្ទោរ​បាន​បំភ្លឺ​លោកីយ
[88, 'q2_33', 'verse', 'v18', 'content']	ឯ​ផែនដី​ក៏​ញ័រ​កក្រើក
[89, 'q1_18', 'verse', 'v18', 'plain_text']	18 សូរ‌សៀង​នៃ​ផ្គរ​របស់​ទ្រង់​ក៏​នៅ​ក្នុង​ខ្យល់​កួច ផ្លេក‌បន្ទោរ​បាន​បំភ្លឺ​លោកីយ ឯ​ផែនដី​ក៏​ញ័រ​កក្រើក
[90, 'q1_19', 'verse', 'v19', 'label']	19
[91, 'q1_19', 'verse', 'v19', 'content']	ផ្លូវ​ដែល​ទ្រង់​យាង នោះ​នៅ​ក្នុង​សមុទ្រ
[92, 'q2_34', 'verse', 'v19', 'content']	ហើយ​ផ្លូវ​ច្រក​របស់​ទ្រង់ ក៏​នៅ​ទី​មាន​ទឹក​ច្រើន
[93, 'q2_35', 'verse', 'v19', 'content']	ឥត​មាន​អ្នក​ណា​ឃើញ​ដាន​ព្រះ‌បាទ​ទ្រង់​ឡើយ
[94, 'q1_19', 'verse', 'v19', 'plain_text']	19 ផ្លូវ​ដែល​ទ្រង់​យាង នោះ​នៅ​ក្នុង​សមុទ្រ ហើយ​ផ្លូវ​ច្រក​របស់​ទ្រង់ ក៏​នៅ​ទី​មាន​ទឹក​ច្រើន ឥត​មាន​អ្នក​ណា​ឃើញ​ដាន​ព្រះ‌បាទ​ទ្រង់​ឡើយ
[95, 'q1_20', 'verse', 'v20', 'label']	20
[96, 'q1_20', 'verse', 'v20', 'content']	ទ្រង់​បាន​នាំ​រាស្ត្រ​ទ្រង់ ដូច​ជា​ហ្វូង​ចៀម
[97, 'q2_36', 'verse', 'v20', 'content']	គឺ​ដោយ​ដៃ​របស់​ម៉ូសេ នឹង​អើរ៉ុន។
[98, 'q1_20', 'verse', 'v20', 'plain_text']	20 ទ្រង់​បាន​នាំ​រាស្ត្រ​ទ្រង់ ដូច​ជា​ហ្វូង​ចៀម គឺ​ដោយ​ដៃ​របស់​ម៉ូសេ នឹង​អើរ៉ុន។
Error: JSON file not found at ./app/json/old.json
Error: JSON file not found at ./app/json/new.json
