[1, 'label']	33
[146, 'q1_23', 'verse', 'v15', 'content']	with the finest produce of the ancient mountains
[147, 'q2_25', 'verse', 'v15', 'content']	and the abundance of
[148, 'q2_25', 'verse', 'v15', 'note', 'x']	#Gen. 49:26;Hab. 3:6;[Ps. 90:2]
[149, 'q2_25', 'verse', 'v15', 'content']	the everlasting hills,
['v015_ESV_DEU_033', 150, 'q1_23', 'verse', 'v15', 'plain_text']	15 with the finest produce of the ancient mountains and the abundance of the everlasting hills,
[151, 'q1_24', 'verse', 'v16', 'label']	16
[152, 'q1_24', 'verse', 'v16', 'content']	with the best gifts of the earth and
[153, 'q1_24', 'verse', 'v16', 'note', 'x']	#Ps. 24:1
[154, 'q1_24', 'verse', 'v16', 'content']	its fullness
[155, 'q2_26', 'verse', 'v16', 'content']	and the favor of
[156, 'q2_26', 'verse', 'v16', 'note', 'x']	#Ex. 3:2-4;Acts 7:30,35
[157, 'q2_26', 'verse', 'v16', 'content']	him who dwells in the bush.
[158, 'q1_25', 'verse', 'v16', 'content']	May these rest on the head of Joseph,
[159, 'q2_27', 'verse', 'v16', 'content']	on the pate of him who is prince among his brothers.
['v016_ESV_DEU_033', 160, 'q1_24', 'verse', 'v16', 'plain_text']	16 with the best gifts of the earth and its fullness and the favor of him who dwells in the bush. May these rest on the head of Joseph, on the pate of him who is prince among his brothers.
[161, 'q1_26', 'verse', 'v17', 'label']	17
[162, 'q1_26', 'verse', 'v17', 'note', 'x']	#[1 Chr. 5:1]
[163, 'q1_26', 'verse', 'v17', 'content']	A firstborn bull
[164, 'q1_26', 'verse', 'v17', 'note', 'f']	#33:17Dead Sea Scroll, Septuagint, Samaritan; Masoretic TextHis firstborn bull
[165, 'q1_26', 'verse', 'v17', 'content']	—he has majesty,
[166, 'q2_28', 'verse', 'v17', 'content']	and his horns are the horns of a
[167, 'q2_28', 'verse', 'v17', 'note', 'x']	#SeeNum. 23:22
[168, 'q2_28', 'verse', 'v17', 'content']	wild ox;
[169, 'q1_27', 'verse', 'v17', 'content']	with them
[170, 'q1_27', 'verse', 'v17', 'note', 'x']	#1 Kgs. 22:11;Ps. 44:5;Dan. 8:4
[171, 'q1_27', 'verse', 'v17', 'content']	he shall gore the peoples,
[172, 'q2_29', 'verse', 'v17', 'content']	all of them, to the ends of the earth;
[173, 'q1_28', 'verse', 'v17', 'note', 'x']	#[Gen. 48:19;Num. 1:33,35]
[174, 'q1_28', 'verse', 'v17', 'content']	they are the ten thousands of Ephraim,
[175, 'q2_30', 'verse', 'v17', 'content']	and they are the thousands of Manasseh.”
['v017_ESV_DEU_033', 176, 'q1_26', 'verse', 'v17', 'plain_text']	17 A firstborn bull —he has majesty, and his horns are the horns of a wild ox; with them he shall gore the peoples, all of them, to the ends of the earth; they are the ten thousands of Ephraim, and they are the thousands of Manasseh.”
[177, 'm5', 'verse', 'v18', 'label']	18
[178, 'm5', 'verse', 'v18', 'content']	And of Zebulun he said,
[179, 'q1_29', 'verse', 'v18', 'note', 'x']	#[Gen. 49:13-15]
[180, 'q1_29', 'verse', 'v18', 'content']	“Rejoice, Zebulun, in your going out,
[181, 'q2_31', 'verse', 'v18', 'content']	and Issachar, in your tents.
