[1, 'label']	29
[138, 'p9', 'verse', 'v33', 'content']	with the grain offering and the drink offerings for the bulls, for the rams, and for the lambs, in the prescribed quantities;
['v033_ESV_NUM_029', 139, 'p9', 'verse', 'v33', 'plain_text']	33 with the grain offering and the drink offerings for the bulls, for the rams, and for the lambs, in the prescribed quantities;
[140, 'p9', 'verse', 'v34', 'label']	34
[141, 'p9', 'verse', 'v34', 'content']	also one male goat for a sin offering; besides the regular burnt offering, its grain offering, and its drink offering.
['v034_ESV_NUM_029', 142, 'p9', 'verse', 'v34', 'plain_text']	34 also one male goat for a sin offering; besides the regular burnt offering, its grain offering, and its drink offering.
[143, 'p10', 'verse', 'v35', 'label']	35
[144, 'p10', 'verse', 'v35', 'note', 'x']	#[John 7:37]
[145, 'p10', 'verse', 'v35', 'content']	“On the eighth day you shall have a
[146, 'p10', 'verse', 'v35', 'note', 'x']	#SeeLev. 23:36
[147, 'p10', 'verse', 'v35', 'content']	solemn assembly. You shall not do any ordinary work,
['v035_ESV_NUM_029', 148, 'p10', 'verse', 'v35', 'plain_text']	35 “On the eighth day you shall have a solemn assembly. You shall not do any ordinary work,
[149, 'p10', 'verse', 'v36', 'label']	36
[150, 'p10', 'verse', 'v36', 'content']	but you shall offer a burnt offering, a food offering, with a pleasing aroma to the
[151, 'p10', 'verse', 'v36', 'nd']	Lord
[152, 'p10', 'verse', 'v36', 'content']	: one bull, one ram, seven male lambs a year old without blemish,
['v036_ESV_NUM_029', 153, 'p10', 'verse', 'v36', 'plain_text']	36 but you shall offer a burnt offering, a food offering, with a pleasing aroma to the Lord : one bull, one ram, seven male lambs a year old without blemish,
[154, 'p10', 'verse', 'v37', 'label']	37
[155, 'p10', 'verse', 'v37', 'content']	and the grain offering and the drink offerings for the bull, for the ram, and for the lambs, in the prescribed quantities;
['v037_ESV_NUM_029', 156, 'p10', 'verse', 'v37', 'plain_text']	37 and the grain offering and the drink offerings for the bull, for the ram, and for the lambs, in the prescribed quantities;
[157, 'p10', 'verse', 'v38', 'label']	38
[158, 'p10', 'verse', 'v38', 'content']	also one male goat for a sin offering; besides the regular burnt offering and its grain offering and its drink offering.
['v038_ESV_NUM_029', 159, 'p10', 'verse', 'v38', 'plain_text']	38 also one male goat for a sin offering; besides the regular burnt offering and its grain offering and its drink offering.
[160, 'p11', 'verse', 'v39', 'label']	39
[161, 'p11', 'verse', 'v39', 'content']	“These you shall offer to the
[162, 'p11', 'verse', 'v39', 'nd']	Lord
[163, 'p11', 'verse', 'v39', 'content']	at your
[164, 'p11', 'verse', 'v39', 'note', 'x']	#Lev. 23:2,4;1 Chr. 23:31;2 Chr. 31:3;Ezra 3:5;Neh. 10:33;[Isa. 1:14]
[165, 'p11', 'verse', 'v39', 'content']	appointed feasts, in addition to your
[166, 'p11', 'verse', 'v39', 'note', 'x']	#Lev. 7:11,16;22:21,23
[167, 'p11', 'verse', 'v39', 'content']	vow offerings and your freewill offerings, for your burnt offerings, and for your grain offerings, and for your drink offerings, and for your peace offerings.”
['v039_ESV_NUM_029', 168, 'p11', 'verse', 'v39', 'plain_text']	39 “These you shall offer to the Lord at your appointed feasts, in addition to your vow offerings and your freewill offerings, for your burnt offerings, and for your grain offerings, and for your drink offerings, and for your peace offerings.”
[169, 'p12', 'verse', 'v40', 'label']	40
[170, 'p12', 'verse', 'v40', 'note', 'f']	#29:40Ch 30:1 in Hebrew
[171, 'p12', 'verse', 'v40', 'content']	So Moses told the people of Israel everything just as the
[172, 'p12', 'verse', 'v40', 'nd']	Lord
[173, 'p12', 'verse', 'v40', 'content']	had commanded Moses.
['v040_ESV_NUM_029', 174, 'p12', 'verse', 'v40', 'plain_text']	40 So Moses told the people of Israel everything just as the Lord had commanded Moses.
XXXX ===================== Warning: Last verse number v40 does not match expected chapter length 39 for NUM chapter 29
