id,tag,text
96,"[96, 'p2', 'verse', 'v16', 'label']",16
97,"[97, 'p2', 'verse', 'v16', 'content']","Therefore the people of Israel shall keep the Sabbath, observing the Sabbath throughout their generations, as a covenant forever."
98,"['v016_ESV_EXO_031', 98, 'p2', 'verse', 'v16', 'plain_text']","16 Therefore the people of Israel shall keep the Sabbath, observing the Sabbath throughout their generations, as a covenant forever."
99,"[99, 'p2', 'verse', 'v17', 'label']",17
100,"[100, 'p2', 'verse', 'v17', 'note', 'x']",#ver.13
101,"[101, 'p2', 'verse', 'v17', 'content']",It is a sign forever between me and the people of Israel that
102,"[102, 'p2', 'verse', 'v17', 'note', 'x']",#Gen. 1:31
103,"[103, 'p2', 'verse', 'v17', 'content']",in six days the
104,"[104, 'p2', 'verse', 'v17', 'nd']",Lord
105,"[105, 'p2', 'verse', 'v17', 'content']","made the heavens and the earth, and"
106,"[106, 'p2', 'verse', 'v17', 'note', 'x']","#Gen. 2:2;Heb. 4:4,10"
107,"[107, 'p2', 'verse', 'v17', 'content']",on the seventh day he rested and was refreshed.’”
108,"['v017_ESV_EXO_031', 108, 'p2', 'verse', 'v17', 'plain_text']","17 It is a sign forever between me and the people of Israel that in six days the Lord made the heavens and the earth, and on the seventh day he rested and was refreshed.’”"
109,"[109, 'p3', 'verse', 'v18', 'label']",18
110,"[110, 'p3', 'verse', 'v18', 'content']","And he gave to Moses, when he had finished speaking with him on Mount Sinai, the"
111,"[111, 'p3', 'verse', 'v18', 'note', 'x']","#ch.24:12;32:15,16;Deut. 4:13;5:22;9:10,11;[2 Cor. 3:3]"
112,"[112, 'p3', 'verse', 'v18', 'content']","two tablets of the testimony, tablets of stone, written with"
113,"[113, 'p3', 'verse', 'v18', 'note', 'x']",#See ch.8:19
114,"[114, 'p3', 'verse', 'v18', 'content']",the finger of God.
115,"['v018_ESV_EXO_031', 115, 'p3', 'verse', 'v18', 'plain_text']","18 And he gave to Moses, when he had finished speaking with him on Mount Sinai, the two tablets of the testimony, tablets of stone, written with the finger of God."
